text,label
"embryonic stem cell research helps to provide innovations in cancer treatment as well as help in the treatment of patient's with diseases such as parkinson's disease, subsidizing would allow for more funding.",embryonic stem cell research
homeopathic treatments often don’t have the severe side effects of traditional medicine,homeopathy
the blockade of the gaza strip prevents basic necessities from reaching the poorest citizens.,blockade of the gaza strip
people should not have to endure higher taxes to pay for the government's inefficiency.,austerity regime
"for minority groups used to all manner of persecutionl, safe spaces provide a metaphorical 'breathing space' where they can connect with themselves in a fear-free environment.",safe spaces
homeschooling does not allow children to fully develop social relationships.,homeschooling
zoos do important conservation work and research into endangered species,zoos
embryonic stem cell research is research that is on the cutting edge and may one day provide a cure to such diseases as cancer and alzheimer's.,embryonic stem cell research
adopting a zero-tolerance policy helps to combat violence and drug abuse in schools,zero-tolerance policy in schools
people should be allowed to believe what they want and don't want to without government interference. government interference would simply create more mistrust.,holocaust denial
we should ban factory farming as its cruel and inhumane to animals,factory farming
Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,assisted suicide
private armies are generally used to violate human rights because they are not subject to restrictions like current armies,private military companies
it should be criminal to lie about a known true fact. this is the tactic hitler used to mind manipulate millions of people into believing they were right and just in murdering millions of jews .,holocaust denial
the development of autonomous cars will eliminate all deaths due to human errors as 90% of all road fatalities are attributed to human errors.,the development of autonomous cars
We should not legalize the organ trade because it will encourage regimes to coerce their citizens into selling organs.,organ trade
cosmetic surgery provides a helpful option to people suffering from many physical and mental issues.,cosmetic surgery
whaling disturbs the delicate balance of sea life,whaling
we should not force our ways and beliefs on other groups of people,missionary work
"affirmative action results in unfair discrimination for other groups, many more people are now losing out because there are supposedly in a majority group which excludes them from many opportunities.",affirmative action
human cloning would help scientists prevent many diseases and would trace the genetics of why there are many deadly diseases.,human cloning
"school prayer acts in violation of basic religious freedom, by forcing all children to worship one diety.",school prayer
judicial activism has been shown to be a critical opponent of oppressive and unjust regulations,judicial activism
"people should have the right to choose naturopathy if they wish, without state interference.",naturopathy
cosmetic surgery as an elective surgery should be banned because it only feeds into the stereotypes and vanity of the popular culture and holds no real value to anyone.,cosmetic surgery
The intense damage that nuclear weapons cause not just to the people immediately hit but also the generations following is morally abhorrent and means we must fight to abolish them.,the abolition of nuclear weapons
targeted killing is an efficient way to stop a future escalation of violence into war and so it is necessary and to ban targeted killing would be to condemn the future to war,targeted killing
some cultures depend on whaling for survival and if you ban it then these people will have no other way to survive.,whaling
the cost of providing public defenders for all would be too much for the state. this money would be better spent reducing crime to start with.,the use of public defenders
guantanamo bay detection camp should be closed because it allows inhumane treatment,guantanamo bay detention camp
the student debt crisis continues to rise and forces students into a horrible financial burden just as they are starting out their careers. we should help them in the start of their careers by subsidizing.,student loans
missionary work should be banned as indoctrinating other cultures with the beliefs of outsiders rarely promotes harmony and inclusiveness in society.,missionary work
just because someone is a habitual offender doesn't mean they deserve a harsh punishment. there are different situations.,the three-strikes laws
"the right to bear arms is outdated. it was created when weapons we're vastly different, no handguns or automatic weapons existed. there are no reasons for civilians to have these dangerous weapons.",the right to keep and bear arms
factory farming is unsanitary and incurs inhumane treatment of animals and therefore should be banned.,factory farming
payday loans should be banned to keep low income earners from being prayed on by predatory loan lenders.,payday loans
payday loans do nothing but make the poor poorer. there needs to be an end to this vicious cycle.,payday loans
"vocational training provides skills that are vital to our labor market and society. like any other form of education it enables students to learn skills, to become a productive part of society. support it!",vocational education
urbanization will increase available housing which we need.,fight urbanization
we should not abandon zoos because they are wonderful family entertainment at a reasonable price.,zoos
if someone wishes to marry several people it is his choice and not for anyone to prevent it,polygamy
"judges are there to enforce the law, not their own opinions.",judicial activism
holocaust denial should not be a criminal offence because ignorance of truth is not a reason for criminal charges.,holocaust denial
many peoples make there livelihoods on whaling,whaling
legalisation of the organ trade would ensure that more organs are available for transplant thus saving lives,organ trade
Three-strike laws lead to expensive trials. Three-strike offenders will demand a court trial rather than accept a plea bargain (which costs a fraction of the price of a full-blown trial).,the three-strikes laws
urbanization makes environmental sense as concentrated resources can be be used efficiently by more people.,fight urbanization
Judicial activism should be limited as there should be enough statutes of law to allow for most situations and fixed punishments are more acceptable than an individuals response to a case.,judicial activism
it should be ended because it has massive implications on the economy in gaza and is holding it back.,blockade of the gaza strip
Factory farming is the most efficient way to grow crops in the modern era.,factory farming
social media allows family members and friends to keep abreast of things that are going on in each other's lives.,social media
people who use homeopathic treatments often delay getting legitimate medical care,homeopathy
we should subsidize journalism because it plays an important role in our society by keeping us informed of current events with facts and background information.,journalism
minors are not old enough to know the consequences and health risks of such surgeries.,cosmetic surgery for minors
"students who do not do well in school are discouraged from seeking meaningful work. by subsidizing vocational education, they will present alternative options",vocational education
libertarianism leaves the poor and disadvantaged without protection from the rich and powerful,libertarianism
subsidizing journalism allows the news outlets to be of a higher quality and keep people more informed about the world around them,journalism
homeschooling is the best way for children to have their specific needs met,homeschooling
racial profiles helps law enforcement agencies to target their resources to where they are most effective,racial profiling
burning the national flag can incite hatred and therefore it should be banned.,flag burning
we should not limit executive compensation because their jobs are hard and stressful and they deserve what they get,executive compensation
payday loans are marketed to the poorest in society who are in the worst position to be able to afford the exhorbitant interest rates if they cannot pay the loan back quickly.,payday loans
factory farming is necessary to feed a growing population,factory farming
people have a right to believe what they want.,holocaust denial
autonomous cars are vulnerable to hacking and do not have human capabilities in regards to avoiding dangerous situations that can result in life and death situations.,the development of autonomous cars
homeschooling prevents the child from interacting with others in a safe school environment,homeschooling
cosmetic surgery encourages people to change things that don’t need changing.,cosmetic surgery
Lifting the Gaza blockade would let weapons into the Gaza Strip and undermine peace.,blockade of the gaza strip
whaling is an outdated practice that destroys entire marine species.,whaling
we should subsidize embryonic stem cell research because it may lead to breakthroughs in varying medical conditions.,embryonic stem cell research
we shouldn't limit executive compensation because those people worked hard to get to that position and should be awarded for it.,executive compensation
we should abandon the school uniform because it is just another cost for parents to pay on top of all the other costs of a 'free' education.,the use of school uniform
"using factory farming, more animals can be raised enabling more people to be fed at lower prices.",factory farming
if payday loans are used sensibly they can provide a quick fix if you need money quickly without having to resort to borrowing from criminal lenders.,payday loans
"We should ban missionary work because missionaries use funds intended for education, healthcare, and development to spread their religion instead.",missionary work
marriage provides much needed emotional and financial stability for children.,marriage
obesity is rising at an alarming rate and fatty foods and sugar filled drinks are shown to be one of the biggest contributors so fast food should be banned because those foods are sold there.,fast food
collectivism encourages herd mentality,collectivism
school prayer can cause upset for those students who do not share the beliefs that are being shared. religion should be a choice not imposed.,school prayer
"legalizing prostitution allows the profession to have some oversight and controls, thus making it safer for all involved.",prostitution
collectivism leads to a greater sense of community where people look after each other.,collectivism
payday loans are a business model designed to rip people off and keep in eternal debt that they cannot afford to clear. this unsustainable for the individual and the economy,payday loans
Algorithmic trading is not affected by emotions that can interfere with investment decisions.,algorithmic trading
the vow of celibacy should not be abandoned as it is a way for people to express their personal beliefs and moral standing,the vow of celibacy
polygamy is immoral and offensive to a large percentage of the population.,polygamy
We should not subsidize Wikipedia as there are far more reliable information sources online and Wikipedia should not be trusted as a reliable source since it can be updated by anyone.,wikipedia
social media is addictive. people are spending more time in virtual worlds and less time experiencing personal human interactions.,social media
television provides a lot of great information that we would not otherwise get,television
people should be free to celebrate their sexuality,cancel pride parades
social media can cause relationship breakdowns and people feeling inadequate when they see and hear what other people have,social media
the blockade of the gaza strip only serves to harm the citizens living along the strip.,blockade of the gaza strip
"without proper background checks and lack of social service visitations, children are vulnerable to foster families that do not care about the welfare of the child but rather the monetary compensation.",foster care
indefinite detention in guantanamo bay without putting detainees through the criminal justice process first is a violation of their human rights.,guantanamo bay detention camp
we should abandon the use of school uniforms because it prohibits students from expressing their individuality and what makes them unique.,the use of school uniform
"every person is entitled to his beliefs, whether they are generally accepted or not. as long as a person does not harm or endanger another person or property, he is entitled to believe what he chooses.",holocaust denial
we should adopt a zero-tolerance policy in schools because we can not take the risk of possible harm to other students and staff should it be enforced.,zero-tolerance policy in schools
public defenders are often overburdened with the number of cases and thus cannot do a good and thorough job of defending all their clients.,the use of public defenders
zoos are inhumane and force animals into a life outside of their natural habitat. we should not encourage the exploitation of these animals.,zoos
"potential criminals will be scared to suffer such harsh punishment and as a result, they will be hesitant to commit crimes",capital punishment
parents have the right to select the sex of their child,sex selection
"factory farming causes untold unnecessary suffering to animals. they are too crowded, do not have room to move or even breathe properly.",factory farming
a well-executed targeted killing is an important tool to prevent war and attacks and there's no reason to ban them.,targeted killing
too much fame at a young age has proven to have ruined many lives,the use of child actors
legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases,cannabis
We should oppose collectivism because in the past it has led to lower living standards for all than individualism.,collectivism
targeted killing has the potential of killing innocent people,targeted killing
the olympics provide a way for nations to come together to foster mutual understanding.,the olympic games
wikipedia is a helpful source of information for research and educational purposes,wikipedia
homeschooling is a great way for students who would struggle in traditional school to get the support and individual learning style adaptations they need.,homeschooling
we can regulate it to be sustainable and only legal for indigenous communities that need whales for survival. banning is too far and unnecessary,whaling
"Foster care lets kids get individualized attention, instead of group homes where there might be one adult for every 30 kids and individual problems go unnoticed.",foster care
naturopathy should be banned in large part due to the large number of deaths associated with reliance on it,naturopathy
judicial activism can result in people not being punished properly for their crimes.,judicial activism
targeted killing is the best way to eliminate threats without risking additional loss of life and it should not be banned.,targeted killing
cannabis will lead to the use of hard drugs which will increase crime,cannabis
We should ban the use of child actors as it subjects them to ideas and images that they should not experience at a young age.,the use of child actors
Some people who utilize homeopathy may not get medical help for serious issues until it is too late.,homeopathy
the perks of becoming an executive and working your way up include attractive compensation. those who can attain big pay days should be comended.,executive compensation
Austerity policies are needed to reduce budget deficits.,austerity regime
racial profiling is efficient and lets the cops focus on those most likely to commit a crime,racial profiling
racial profiling encourages the reinforcement of stereotypes and can lead to minorities being unfairly targeted.,racial profiling
Factory farming not only keeps costs low for the consumer but it also guarantees more meat and other animal products as opposed to regular farms. The population is huge and needs to be fed.,factory farming
we should subsidize vocational education because not all people are college material. there is a shortage of people working in certain fields that do not require a college education.,vocational education
libertarianism reduces the oppression of big government and gives more freedom to the pople,libertarianism
there is no need to subsidize stay at home dads because the public should not have to pay for the choice these men made to stay home.,stay-at-home dads
marriage is a solid foundation with which to build a family and it should be held as sacred always.,marriage
strict capital punishment brings justice and closure to the victim's family,capital punishment
some executives receive obscene remuneration payment in contrast to their workers who receive only very small rewards for their performance. so limits should be in place to be more fair,executive compensation
"wikipedia is not a reliable search engine because of the information exchange methodology they have, since anyone could place what they would like on that page",wikipedia
"judicial activism should not be limited as times have changed, circumstances are vastly different, than a reason why an initial law was enacted.",judicial activism
"cosmetic surgery is dangerous and unnecessary, and many providers are unethical.",cosmetic surgery
three-strike offenders are habitual criminals and should be treated as such,the three-strikes laws
the olympic games are too expensive and bad for host cities and their residents.,the olympic games
"to attract the best talent at the top, a high level of executive compensation is essential.",executive compensation
we should ban factory farming because it lead to the abuse of animals,factory farming
"safe spaces are vital to many, especially on campuses where the students that feel excluded or discriminated against have a safe haven to enable them to feel comfortable in continuing their education",safe spaces
foster care offers safety and shelter to children in need.,foster care
"missionary work is merely the propagation of christian beliefs under the guise of charity, and religion shouldn't be marketed as a commodity.",missionary work
selective killings are necessary to eliminate evil people in dangerous or unreachable areas,targeted killing
"Vocational schools are a more efficient form of secondary education as they skip the traditional liberal arts and general education courses of most universities, and instead focus on practical courses for a person's career.",vocational education
social media allows people to stay in touch with friends and relatives all over the world,social media
pride parades have now grown to the point where they are increasingly difficult to police and the scale of the events now need to be looked at to ensure the safety of all participants.,cancel pride parades
"Animals have rights, and we as custodians of nature have an obligation to them to protect them from this cruel and needless death",whaling
"school uniform is expensive and may mean families cannot afford other essentials after paying for uniform, or they may have to buy substandard uniform which opens children to discrimination.",the use of school uniform
if we don't ban whaling they will soon be almost extinct.,whaling
there is no difference between assisted suicide and being an accessory to murder. suicide is immoral and those that help should be punished.,assisted suicide
wikipedia is a valuable tool used by millions to acquire knowledge.,wikipedia
It is impossible to humanely kill a whale and no creature deserves such a painful and gruesome death.,whaling
Three strikes laws destroy families by taking away parents and children for the rest of their lives with no chance of parole.,the three-strikes laws
"marriage is an outdated institution for the benefit of the male population, therefore it should be abandoned.",marriage
"the flag is a symbol of the united states, our way of life, our freedom, or soldiers and deserves respect.",flag burning
economic sanctions only hurt the normal working class citizens,the use of economic sanctions
cosmetic surgery for minors is unnecessary and dangerous.,cosmetic surgery for minors
"embroyonic stem cell research paves the way for many vital medical breakthroughs, helping to fight debilitating diseases and the suffering caused by them.",embryonic stem cell research
the open source nature of wikipedia means anyone can add gibberish and falsehood in its contents thereby making it unreliable.,wikipedia
the uniformity of clothing creates a sense of belonging and a collective identity which encourages camaraderie between students and this allows for greater focus on studies,the use of school uniform
The data shows that states like California where three strikes laws have been implemented don't actually see decreases in crime after implementation.,the three-strikes laws
"the olympic games should not be banned, it provides hope and motivation for a physically positive purpose, and brings together every nation of the world",the olympic games
Excessive levels of pay for executives is deeply disproportionate when compared to the far smaller remuneration for the multitude of the workforce and compensation should be limited in line with a fairer split.,executive compensation
we shouldn't abandon the usage of school uniforms because they instill discipline and a consistent learning environment. there is less bullying and more cohesiveness.,the use of school uniform
we should ban cosmetic surgery for minors because it sets a bad precedence for those who come behind them and because it's a decision with a permanent outcome.,cosmetic surgery for minors
a zero-tolerance policy is the best way to crack down on unacceptable behavior before it gets out of hand.,zero-tolerance policy in schools
"social media often shows people at their best and looking their best, this can lead to feelings of inadequacy for those viewing.",social media
why should the rich have access to a better defense than the poor? if everyone used the same level of defender it would make the justice system much fairer.,the use of public defenders
affirmative action is unfair on people who lose out on jobs because they are not a minority.,affirmative action
whale populations are depleted and need protecting,whaling
fast food provides minimal nutrition and is addictive with no health benefits so should be banned to preserve the health of the population.,fast food
this would insure that people have a legal representation regardless of the ability to hire a lawyer.,the use of public defenders
Three-strike laws disproportionately affect minorities in that they target low-impact street crime as opposed to high-impact white collar crimes.,the three-strikes laws
The death penalty is incompatible with human rights and human dignity,capital punishment
whaling is a form of inhumane hunting that causes environmental degradation.,whaling
"racial profiling allows for identifying known criminals that belong to certain minority groups, decreasing a vast number of potential suspects in a case.",racial profiling
women want to defend their country.they should be allowed to fight in a battle to support their country and its cause.,women in combat
Three strikes laws ruin young people's lives by preventing them from being accessing education and jobs that would pull them out of a life of crime by prolonging their time in jail during their formative years.,the three-strikes laws
foster care families don't really take care of the children and instead use them to earn extra income,foster care
"There cannot be a just retribution for mass murder, for example, but surely death sentence would be closer to justice than subsisting such a murderer till the end of his days at the taxpayer's expense.",capital punishment
"Many jobs, like airplane pilots and doctors, are tasked with they physical safety of hundred of others. Companies have an obligation to make sure people holding those positions are the most capable, which old age threatens.",retirement
"sometimes a cosmetic procedure is necessary in cases of disfigurement, and when this is addressed early, the chances of recovery and normalised existence are maximised.",cosmetic surgery for minors
the wealth of knowledge in wikipdia available to the public for free is too valuable to risk ever losing so it should be subsidized to ensure it continues.,wikipedia
we should adopt gender neutral terminology to prevent the continued stereotyping and discrimination of genders.,gender-neutral language
by subsidizing space exploration we can work toward colonizing other planets and reduce over population on earth.,space exploration
we should ban fast food because it has been shown to be nutrient poor and calorie high which has led to the obesity epidemic.,fast food
"flag burning is a right under freedom of protest, a right that should not be violated.",flag burning
minors cannot be trusted to make decisions about cosmetic surgery that may affect them adversely as they grow up.,cosmetic surgery for minors
"the pursuit of wealth and good fortune is one of the most basic rights we have. we should encourage those who better themselves and become well paid executives, not attempt to limit their pay.",executive compensation
autonomous cars could reduce the amount of human related errors during driving.,the development of autonomous cars
Safe spaces promote freedom of expression for marginalized groups.,safe spaces
"With the right safety precautions in place, nuclear weapons offer premium protection with little risk.",the abolition of nuclear weapons
missionary work tries to inflict other's beliefs onto people in more vulnerable circumstances.,missionary work
Holocaust denial should not be a criminal offence because everyone has the right to freedom of opinion and expression,holocaust denial
libertarianism promotes self interest and not that of society as a whole,libertarianism
"look at the tragedies of numerous child stars, it is very rare a child actor doesn't face trouble and actually become successful adults.",the use of child actors
as long as missionaries do not exploit local populations and do not encourage discrimination they should be allowed to advertise their mythologies without infringing on others freedoms.,missionary work
"school prayers are a clear violation of the separation of church and state, and thus should be banned.",school prayer
too much money is paid to the top tier when the majority at the bottom are paid so poorly so we should limit executive compensation to re-balance this issue.,executive compensation
the blockade only hurts the people and not the government. it's the people who are suffering because of it,blockade of the gaza strip
"we shouldn't adopt libertarianism because we need lots of government to keep society in check. if we legalize everything, there will be chaos and nothing will get paid for because people will be stingy",libertarianism
television is a great medium and can provide educational and entertaining programming,television
"cosmetic surgery is expensive, a waste of resources, and gives people, especially young women, an impossible standard to live up to.",cosmetic surgery
"we should end affirmative action because it is no longer necessary. everyone has an equal chance of success now, it just depends on how hard each person is willing to commit themselves to reaching their goals.",affirmative action
"autonomous cars would alleviate driver errors like driving impaired, tired or preoccupied",the development of autonomous cars
we shouldn't end mandatory retirement because it makes way for the younger generation to take their place in the career world with a fresh view,retirement
"parents are not trained, qualified teachers and kids need to learn to socialize with other kids",homeschooling
factory farming allows the farmers to keep up with the growing food demand.,factory farming
"capital punishment is applied unfairly among the different races, so it should be replaced with a better form of punishment that treats everyone equally.",capital punishment
Telemarketing is a personal and interactive method of selling. It creates an immediate rapport with your prospective customers.,telemarketing
"animals are often kept in poor condition in zoos, with their freedom curtailed.",zoos
voting is so important. voter turnout would be much higher if compulsory voting was introduced.,compulsory voting
space exploration is invaluable because it may help us to find solutions for global warming or even planets that can sustain human life.,space exploration
some people may not even think about committing a crime until they are offered a deal which would entrap them. entrapment should not be allowed.,entrapment
intelligence test can show where people need to improve.,intelligence tests
for students that don’t learn well in a school environment the only option is homeschooling.,homeschooling
freedom of religion allows us to practice our religion and its customs and if that includes polygamy then we should be allowed to do it,polygamy
it is society's right to protect itself and arms are the best deterrent .,the right to keep and bear arms
"autonomous cars reduce the risk of human error, thus leading to safer roads.",the development of autonomous cars
School uniforms create a sense of community that is good for creating a unified and peaceful school.,the use of school uniform
A multiparty system is less likely to have gridlock because there are more parties that are willing to compromise.,multi-party system
mankind will eventually have to colonize space to avoid extinction. we should start working on it immediately,space exploration
an austerity regime unfairly hits hardest those least able to cope such as the poor and the sick,austerity regime
forcing people to vote is a violation of human rights,compulsory voting
ending the gaza strip blockade would allow more freedom of movement of people and goods which may allow a better standard of living for the gazan people.,blockade of the gaza strip
we should legalize cannabis for the people that are suffering from anxiety and illness because it is a more natural way to deal with these issues.,cannabis
judicial activism should be limited in order to keep personal opinions out of rulings,judicial activism
children do not get the social interaction from kids their own age if homeschooled.,homeschooling
autonomous cars free up human time and attention for other things.,the development of autonomous cars
We should close Guantanamo Bay detection camp as it is a known center of severe restrictive punishment and should not be allowed to continue in a civilized society.,guantanamo bay detention camp
wikipedia provides vital information quickly. subsidizing it guarantees that this can continue.,wikipedia
Legalizing prostitution would help fight against organized crime.,prostitution
the use of child actors should not be banned because there are many acting roles for children that would not otherwise be accurately portrayed,the use of child actors
zoos can not provide the amount of space that animals have in the wild,zoos
blockade of the gaza strip should be ended because it has caused many harms to gazans. peace will never happen until this is lifted.,blockade of the gaza strip
nuclear weapons are the most dangerous threat to the human existence. one we start using these other countries will follow suit and this will lead to killing massive amounts of life on earth.,the abolition of nuclear weapons
we should not cancel pride parades because people have a right to have a way to voice their sexual preferences,cancel pride parades
"we should ban them because it is a cult that expects members to pay lots of money to join, and if anyone tries to leave they make their life hell.",the church of scientology
executive compensation is the business of the company itself and is needed to be competitive to attract the best executives to run their company.,executive compensation
We should adopt a zero-tolerance policy in schools as this is where young people learn what is right and wrong in society and this will help develop a better society.,zero-tolerance policy in schools
"in reality, the church of scientology is a hugely profitable global racket that survives by intimidating members and critics in a mafia-like manner",the church of scientology
cosmetic surgery presents many health risks.,cosmetic surgery
we should adopt gender-neutral language to make sure everyone is included the way they want to be identified,gender-neutral language
there is no reason the blockade of the gaza strip should still be in effect. it's costing too much to innocent people.,blockade of the gaza strip
"outsiders should not come into other people's countries under the guise of missionary work, spreading their own ideals and beliefs.",missionary work
recent prominent cases (the hart and turpin families) highlight how some parents exploit homeschooling to hide their abuse. schools act as a safeguard by employing professionals who are trained to spot neglect.,homeschooling
"legalising the organ trade would be unethical. allowing people to buy and trade organs would place a burden on the poorest people, as they would feel pressure to sell their organs.",organ trade
zoos are a great way teach people about animals and how important they are,zoos
we should adopt a zero tolerance policy in schools to ensure that the students and parents alike take negative behavior and the consequences seriously.,zero-tolerance policy in schools
targeted killing runs the risk of innocent lives taken,targeted killing
priests and nuns should have a right to live normal lives without any need for celibacy vows,the vow of celibacy
free thinking for all should never be a crime.,holocaust denial
the blockade of the gaza strip ought to be ended because it is prohibiting people from living their lives,blockade of the gaza strip
we should not subsidize wikipedia because it has too many errors,wikipedia
foster care provides a caring environment for kids,foster care
vocational schools offer an excellent chance to develop some vital skills and careers in hands-on fields which don’t' require traditional four-year academic training.,vocational education
blockade of the gaza strip increases israel's security by restricting movement of terrorists from palestine into israel where they regularly committed terrorist acts.,blockade of the gaza strip
the three strikes law doesn't do anything to prevent or deter major crimes from occurring.,the three-strikes laws
Entrapment causes more criminals to be caught and taken off the streets.,entrapment
fast food should be banned as it is unhealthy and discourages people from cooking good balanced meals for themselves which leads to a poor diet and health problems.,fast food
adopting gender-neutral language would be pandering to the current trend which will soon pass and our language would be left devoid of definitions.,gender-neutral language
the school prayer should not be prohibited as it gives a sense of belonging and togetherness within the school environment,school prayer
assisted suicide allows for a person to die with dignity rather than go through a painful and dehumanizing process.,assisted suicide
"telemarketing has become a scourge on society with call centres set-up to cold call people using auto-dialers, resulting in people being harassed by silent calls when there is no call handler to talk to them",telemarketing
the abused have the right to have spaces where they can have tolerance and not suffer abuse,safe spaces
"It is now on record more children are sexually abused,physically and emotionally abused while under state care",foster care
nuclear weapons are dangerous and unnecessary,the abolition of nuclear weapons
Polygamy creates more economically stable relationships by allowing more people to shoulder the economic costs of a family and being able to fill in for each other in times of need.,polygamy
"we should ban the use of child actors as they are exposed to too much reality at too young of an age, which can have a bearing on them having a healthy lifestyle later in life.",the use of child actors
three-strikes laws reduce recidivism rates.,the three-strikes laws
affirmative action gives opportunities to those that have endured discrimination and have been denied opportunities due to their minority status.,affirmative action
"at many physical jobs, having someone past a certain age can become a liability and a mandatory retirement age will be a good leveling tactic.",retirement
some offenses are so minor that a three strikes law would cause a punishment much too harsh for the crime.,the three-strikes laws
autonomous cars have already caused multiple fatalities and are being used on public roads right now without being adequately tested. the makers are literally using human lives to beta test their products.,the development of autonomous cars
racial profiling is a tool for police to make crime solving faster. if the majority of certain crimes are committed by a specific race then that's simply where they need to focus,racial profiling
a zero-tolerance policy in school systems could put an end to the rampant spread of bullying which has increased the suicide rate among children.,zero-tolerance policy in schools
"urbanization destroys green space, which has been shown to have a detrimental effect on human mental states.",fight urbanization
people will be forced to vote for a person they do not want to. they will just mark something and potentially effect the nation.,compulsory voting
intellectual property rights fuel innovation by creating incentives to invent,intellectual property rights
"Every system has its failings, but overall people involved in foster care are loving, devoted individuals with the children's best interests in mind.",foster care
no evidence has been found that zero tolerance policies deter bullying and violence in schools,zero-tolerance policy in schools
judicial activism can give proper justice to those when the law isn't completely clear,judicial activism
fast food has almost non nutritional value. it is full of bad unhealthy ingredients and is causing the rise in health problems and obesity in the nation.,fast food
legalizing organ trade would dehumanize poor people as they would be seen more like animals than people,organ trade
"Naturopathy operates by creating cultural followings that are militaristic in their hatred of science, which creates enclaves of increased disease and fatality.",naturopathy
"in certain circumstances it's impossible to detain highly dangerous individuals who pose a threat, the only option is targeted killing.",targeted killing
independent religious organisations should be free to solicit for new members if they do so in a fair and open manner.,missionary work
"there are many couples who are unable to have children but want to have children with their own genetic lineage. surrogacy within families, rather than using outsiders,would help keep family lineages going.",surrogacy
social media does not cause more harm than good because we now have the ability to stay connected to others like never before.,social media
private military companies are often run by former military men and women and provide a service that allows the military to concentrate on military operations.,private military companies
capital punishment has provided too many instances of unlawful convictions not being properly investigated with no comeback afterwards,capital punishment
there are many scam artists out there promoting naturopathy treatments that do not work and may harm you since they are not regulated.,naturopathy
affirmative action breeds further resentment toward groups of society that are or were the subject of discrimination. equal opportunity is the best approach,affirmative action
societies that operate under collectivism can achieve more,collectivism
cannabis can provide relief for a number of ailments without the side effects of regular medications.,cannabis
there is no reason for dying people to suffer unnecessarily,assisted suicide
"affirmative action is basically reverse racism, and racism in any form is wrong.",affirmative action
"even horrible and hateful speech must still count as free speech, or else we create a slippery slope.",holocaust denial
